spec,cycle,state,office,days_to_election,target,actual_margin,prior_margin,prior_cycle,predicted,residual,predicted_loo,residual_loo,null_predicted,null_residual,early_share_of_total,ev_party_margin,mail_share,ev_party_margin_swing,mail_share_swing,pace_vs_prior,ev_ballots,source_tier,source_name,retrieved_at
share,2024,WI,senate,0,-9.9882,0.8488,10.837,2018,-3.6403,-6.3479,-3.2606,-6.7276,0,-9.9882,45.9556,,37.9398,,,,1558257,1,wi-wec,2026-09-06T15:38:49+00:00
uniform,2022,KY,senate,4,-9.0679,-23.6167,-14.5488,2016,-4.9724,-4.0955,-4.8586,-4.2093,0,-9.0679,,2.6044,21.2279,,,,,1,ky-sbe,2026-09-06T15:38:49+00:00
uniform,2022,MD,senate,5,6.48,31.6931,25.2131,2016,-4.9724,11.4524,-5.2905,11.7705,0,6.48,,32.5922,,,,,,1,md-sbe,2026-09-06T15:38:49+00:00
uniform,2022,NC,senate,0,2.4704,-3.2257,-5.6961,2016,-4.9724,7.4428,-5.1791,7.6495,0,2.4704,57.973,10.2489,8.0886,,,,2187856,1,nc-sbe,2026-09-06T15:38:49+00:00
uniform,2022,OH,senate,0,14.7594,-6.1119,-20.8713,2016,-4.9724,19.7318,-5.5205,20.2799,0,14.7594,35.6608,,62.6791,,,,1473983,1,oh-sos,2026-09-06T15:38:49+00:00
uniform,2022,SC,senate,18,0.3311,-25.8688,-26.1999,2016,-4.9724,5.3035,-5.1197,5.4508,0,0.3311,,,,,,,16975,,,2026-09-06T15:38:49+00:00
uniform,2024,AZ,president,99,-5.8373,-5.5286,0.3087,2020,-4.9724,-0.8649,-4.9483,-0.889,0,-5.8373,,,,,,,,,,2026-09-06T15:38:49+00:00
uniform,2024,AZ,senate,99,0.0622,2.4067,2.3445,2018,-4.9724,5.0346,-5.1122,5.1744,0,0.0622,,,,,,,,,,2026-09-06T15:38:49+00:00
uniform,2024,CO,president,5,-2.4221,10.9849,13.407,2020,-4.9724,2.5503,-5.0432,2.6211,0,-2.4221,,3.2773,97.6783,,,,,1,co-sos,2026-09-06T15:38:49+00:00
uniform,2024,FL,president,0,-9.7417,-13.1,-3.3583,2020,-4.9724,-4.7693,-4.8399,-4.9018,0,-9.7417,83.8761,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,FL,senate,0,-12.6559,-12.7784,-0.1225,2018,-4.9724,-7.6835,-4.7589,-7.897,0,-12.6559,84.939,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,GA,president,0,-2.4276,-2.192,0.2356,2020,-4.9724,2.5448,-5.0431,2.6155,0,-2.4276,76.7735,,6.5896,,,,4031303,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,IA,president,0,-5.0565,-13.2095,-8.153,2020,-4.9724,-0.0841,-4.97,-0.0865,0,-5.0565,40.8954,-2.118,,,,,680297,1,ia-sos,2026-09-06T15:38:49+00:00
uniform,2024,IL,president,1,-6.0925,10.8956,16.9881,2020,-4.9724,-1.1201,-4.9413,-1.1512,0,-6.0925,,,34.924,,,,,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,KY,president,0,-4.5995,-30.5346,-25.9351,2020,-4.9724,0.3729,-4.9827,0.3832,0,-4.5995,38.7363,-10.5113,14.2991,,,,803596,1,ky-sbe,2026-09-06T15:38:49+00:00
uniform,2024,MD,president,5,-4.6767,28.5337,33.2104,2020,-4.9724,0.2957,-4.9806,0.3039,0,-4.6767,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
uniform,2024,MD,senate,5,-22.7479,11.8015,34.5494,2018,-4.9724,-17.7755,-4.4786,-18.2693,0,-22.7479,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
uniform,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,-4.9724,2.8441,-5.0514,2.9231,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
uniform,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-4.9724,6.5436,-5.1541,6.7253,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
uniform,2024,MI,president,0,-4.1977,-1.4142,2.7835,2020,-4.9724,0.7747,-4.9939,0.7962,0,-4.1977,58.6061,,,,,,331956,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,MI,senate,0,-6.1648,0.3408,6.5056,2018,-4.9724,-1.1924,-4.9392,-1.2256,0,-6.1648,59.5203,,,,,,331956,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-4.9724,3.1086,-5.0587,3.1949,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
uniform,2024,NV,president,1,-5.4891,-3.0985,2.3906,2020,-4.9724,-0.5167,-4.958,-0.5311,0,-5.4891,,-5.3531,50.5818,,,,,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,NV,senate,1,-3.3844,1.6426,5.027,2018,-4.9724,1.588,-5.0165,1.6321,0,-3.3844,,-5.3531,50.5818,,,,,2,uf-election-lab,2026-09-06T15:38:49+00:00
uniform,2024,OH,president,0,-3.1754,-11.2074,-8.032,2020,-4.9724,1.797,-5.0223,1.8469,0,-3.1754,45.4377,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
uniform,2024,OH,senate,0,-10.4645,-3.6187,6.8458,2018,-4.9724,-5.4921,-4.8198,-5.6447,0,-10.4645,45.9408,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
