cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2024,SC,2024-09-25,41,race,black,71,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,hispanic,27,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,native,2,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,other,25,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,unknown,48,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,white,683,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,asian,25,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,black,88,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,hispanic,31,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,native,2,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,other,27,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,unknown,51,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-26,40,race,white,780,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,asian,34,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,black,127,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,hispanic,37,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,native,2,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,other,39,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,unknown,71,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-01,35,race,white,1079,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,asian,36,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,black,136,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,hispanic,38,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,native,2,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,other,43,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,unknown,76,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-02,34,race,white,1159,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,asian,42,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,black,145,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,hispanic,40,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,native,2,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,other,45,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,unknown,78,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-03,33,race,white,1204,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,asian,55,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,black,163,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,hispanic,54,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,native,4,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,other,51,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,unknown,111,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-04,32,race,white,1509,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,asian,82,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,black,425,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,hispanic,75,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,native,6,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,other,70,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,unknown,135,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-09,27,race,white,2942,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,asian,104,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,black,729,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,hispanic,93,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,native,8,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,other,85,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,unknown,157,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-10,26,race,white,4241,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,asian,116,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,black,1184,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,hispanic,98,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,native,13,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,other,93,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,unknown,161,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-11,25,race,white,5690,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,asian,124,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,black,1811,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,hispanic,109,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,native,18,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,other,101,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,unknown,167,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-14,22,race,white,6834,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,asian,130,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,black,2043,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,hispanic,118,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,native,18,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,other,110,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,unknown,174,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-15,21,race,white,7428,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,asian,207,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,black,4057,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,hispanic,173,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,native,44,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,other,154,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,unknown,196,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-16,20,race,white,14254,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,asian,225,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,black,4775,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,hispanic,196,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,native,49,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,other,169,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,unknown,206,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-17,19,race,white,16453,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,asian,271,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,black,6845,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,hispanic,209,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,native,60,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,other,196,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,unknown,213,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-10-18,18,race,white,21739,1,sc-sec,2026-09-06T15:28:42+00:00
